GO biological process complete,allexp_forGO.txt - REFLIST (12841),plasticdown.txt (4129),plasticdown.txt (expected),plasticdown.txt (over/under),plasticdown.txt (fold Enrichment),plasticdown.txt (raw P-value),plasticdown.txt (FDR),plasticup.txt (4158),plasticup.txt (expected),plasticup.txt (over/under),plasticup.txt (fold Enrichment),plasticup.txt (raw P-value),plasticup.txt (FDR),plastic8down.txt (2285),plastic8down.txt (expected),plastic8down.txt (over/under),plastic8down.txt (fold Enrichment),plastic8down.txt (raw P-value),plastic8down.txt (FDR),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR)
regulation of cellular response to oxidative stress (GO:1900407),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
peptidyl-tyrosine dephosphorylation (GO:0035335),4,4,1.29,+,3.11,0.105,1,0,1.3,-, < 0.01,0.578,1,3,0.71,+,4.21,0.075,0.792,4,2.39,+,1.67,0.483,1
xylulose metabolic process (GO:0005997),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
glycogen catabolic process (GO:0005980),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.956,2,1.2,+,1.67,0.633,1
negative regulation of protein dephosphorylation (GO:0035308),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
alpha-ketoglutarate transport (GO:0015742),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
quinolinate metabolic process (GO:0046874),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
mitochondrial tRNA modification (GO:0070900),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
negative regulation of sinapate ester biosynthetic process (GO:1903086),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of sinapate ester biosynthetic process (GO:1903085),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001106),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
allantoin transport (GO:0015720),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
photosynthetic state transition (GO:0062055),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
ethanolamine-containing compound metabolic process (GO:0042439),2,2,0.64,+,3.11,0.25,1,1,0.65,+,1.54,0.569,1,2,0.36,+,5.62,0.111,0.955,2,1.2,+,1.67,0.633,1
prostaglandin biosynthetic process (GO:0001516),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
choline biosynthetic process (GO:0042425),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
cellular response to exogenous dsRNA (GO:0071360),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cellular response to dsRNA (GO:0071359),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of phospholipase C activity (GO:0010863),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
detection of redox state (GO:0051776),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
7-methylguanosine mRNA capping (GO:0006370),3,3,0.96,+,3.11,0.159,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
actin crosslink formation (GO:0051764),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of reciprocal meiotic recombination (GO:0010845),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
negative regulation of secondary metabolite biosynthetic process (GO:1900377),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
peptide cross-linking via L-cystine (GO:0018316),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
glycoside catabolic process (GO:0016139),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
glycoside metabolic process (GO:0016137),2,2,0.64,+,3.11,0.25,1,1,0.65,+,1.54,0.569,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
negative regulation of defense response to insect (GO:1900366),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
xanthophyll catabolic process (GO:0016124),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
shoot organ boundary specification (GO:0090470),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
carotenoid catabolic process (GO:0016118),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
tetraterpenoid catabolic process (GO:0016110),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
mitochondrial tRNA wobble uridine modification (GO:0070899),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
protein import into chloroplast thylakoid membrane (GO:0045038),6,6,1.93,+,3.11,0.0833,1,0,1.94,-, < 0.01,0.347,1,5,1.07,+,4.68,0.0163,0.316,6,3.59,+,1.67,0.383,1
molybdate ion export from vacuole (GO:0090414),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
malonate catabolic process (GO:0090410),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
stress-induced premature senescence (GO:0090400),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
nickel cation transport (GO:0015675),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cytoplasmic streaming (GO:0099636),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of cellulose biosynthetic process (GO:2001007),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
vitamin K metabolic process (GO:0042373),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
vitamin K biosynthetic process (GO:0042371),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
water-soluble vitamin catabolic process (GO:0042365),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of ion transmembrane transport (GO:0034766),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.954,2,1.2,+,1.67,0.633,1
negative regulation of transmembrane transport (GO:0034763),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.952,2,1.2,+,1.67,0.633,1
CDP biosynthetic process (GO:0046705),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
CDP metabolic process (GO:0046704),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
cellular response to manganese ion (GO:0071287),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
plastid translation (GO:0032544),13,13,4.18,+,3.11,0.00474,0.314,0,4.21,-, < 0.01,0.0476,1,11,2.31,+,4.76,0.000337,0.0196,13,7.77,+,1.67,0.224,1
positive regulation of protein geranylgeranylation (GO:2000541),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
regulation of protein geranylgeranylation (GO:2000539),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
positive regulation of translational initiation in response to starvation (GO:0071264),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
regulation of translational initiation in response to starvation (GO:0071262),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
polyprenol catabolic process (GO:0016095),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cellular response to gravity (GO:0071258),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cytokinetic process (GO:0032506),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
glucose transmembrane transport (GO:1904659),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,3,0.53,+,5.62,0.0482,0.627,3,1.79,+,1.67,0.678,1
DNA replication termination (GO:0006274),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of stem cell population maintenance (GO:1902459),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
positive regulation of stomatal opening (GO:1902458),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.951,2,1.2,+,1.67,0.633,1
regulation of phospholipase C activity (GO:1900274),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cellular senescence (GO:0090398),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
"DNA replication, synthesis of RNA primer (GO:0006269)",1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
xylan acetylation (GO:1990937),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
positive regulation of mitochondrial RNA catabolic process (GO:0000962),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of mitochondrial RNA catabolic process (GO:0000960),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
spindle localization (GO:0051653),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
protein localization to mitotic spindle pole body (GO:1902440),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
regulation of ornithine metabolic process (GO:0090368),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
dTMP biosynthetic process (GO:0006231),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
(+)-abscisic acid D-glucopyranosyl ester transmembrane transport (GO:1902418),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
mitotic cytokinetic process (GO:1902410),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
uracil salvage (GO:0006223),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
assembly of actomyosin apparatus involved in mitotic cytokinesis (GO:1902407),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
uridine catabolic process (GO:0006218),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
phragmoplast assembly (GO:0000914),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
lipid droplet formation (GO:0140042),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of guanyl-nucleotide exchange factor activity (GO:1905099),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of guanyl-nucleotide exchange factor activity (GO:1905097),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
endoplasmic reticulum to chloroplast transport (GO:1901965),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.949,2,1.2,+,1.67,0.633,1
formation by symbiont of syncytium involving giant cell for nutrient acquisition from host (GO:0052096),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
formation of specialized structure for nutrient acquisition from other organism involved in symbiotic interaction (GO:0052095),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
formation of specialized structure for nutrient acquisition from host (GO:0052093),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
auxin influx (GO:0060919),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
specification of petal number (GO:0048834),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
sideretin biosynthesis (GO:0106146),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
glutathione transport (GO:0034635),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
peptidyl-glutamine modification (GO:0018199),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
'de novo' NAD biosynthetic process from aspartate (GO:0034628),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
'de novo' NAD biosynthetic process (GO:0034627),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
"fatty acid elongation, polyunsaturated fatty acid (GO:0034626)",1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
"fatty acid elongation, monounsaturated fatty acid (GO:0034625)",1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
site-specific DNA replication termination at RTS1 barrier (GO:0071171),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
site-specific DNA replication termination (GO:0071170),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
establishment of protein localization to chromatin (GO:0071169),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
protein localization to chromatin (GO:0071168),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
peptidyl-cysteine oxidation (GO:0018171),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
RNA acetylation (GO:1990884),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
rRNA acetylation (GO:1990882),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of 1-deoxy-D-xylulose-5-phosphate synthase activity (GO:1902395),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
peptidyl-pyrromethane cofactor linkage (GO:0018160),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
negative regulation of ion transmembrane transporter activity (GO:0032413),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.948,2,1.2,+,1.67,0.633,1
negative regulation of transporter activity (GO:0032410),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.946,2,1.2,+,1.67,0.633,1
protein oxidation (GO:0018158),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
establishment of mitotic spindle localization (GO:0040001),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
peptide cross-linking (GO:0018149),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cGMP biosynthetic process (GO:0006182),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
histone H3-K23 acetylation (GO:0043972),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
oxazole or thiazole biosynthetic process (GO:0018131),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
glycosaminoglycan metabolic process (GO:0030203),3,3,0.96,+,3.11,0.159,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
adenosine salvage (GO:0006169),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
protein transport by the Tat complex (GO:0043953),3,3,0.96,+,3.11,0.159,1,1,0.97,+,1.03,1,1,3,0.53,+,5.62,0.0482,0.625,3,1.79,+,1.67,0.678,1
regulation of fatty acid beta-oxidation (GO:0031998),2,2,0.64,+,3.11,0.25,1,2,0.65,+,3.09,0.253,1,2,0.36,+,5.62,0.111,0.945,2,1.2,+,1.67,0.633,1
negative regulation of chlorophyll biosynthetic process (GO:1902325),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
nuclear DNA replication termination (GO:1902317),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of arginine metabolic process (GO:0000821),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of monopolar cell growth (GO:0051513),3,3,0.96,+,3.11,0.159,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
glycerol biosynthetic process (GO:0006114),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
diaminopimelate biosynthetic process (GO:0019877),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,2,0.36,+,5.62,0.111,0.944,2,1.2,+,1.67,0.633,1
succinate metabolic process (GO:0006105),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
positive regulation of red or far-red light signaling pathway (GO:0090228),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of red or far-red light signaling pathway (GO:0090227),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
regulation of cell septum assembly (GO:1901891),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
gene looping (GO:0090202),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of Rho protein signal transduction (GO:0035024),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
regulation of Rho protein signal transduction (GO:0035023),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
somatic stem cell population maintenance (GO:0035019),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cuticle pattern formation (GO:0035017),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of Ras protein signal transduction (GO:0046580),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
sieve cell differentiation (GO:0048756),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
nicotinate metabolic process (GO:1901847),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
beta-glucoside metabolic process (GO:1901804),1,1,0.32,+,3.11,0.427,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
sulfolipid biosynthetic process (GO:0046506),3,3,0.96,+,3.11,0.159,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
positive regulation of lipid transport (GO:0032370),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
sulfolipid metabolic process (GO:0046505),3,3,0.96,+,3.11,0.159,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
uroporphyrinogen III metabolic process (GO:0046502),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,1,0.6,+,1.67,1,1
protoporphyrinogen IX metabolic process (GO:0046501),10,10,3.22,+,3.11,0.0151,0.604,1,3.24,-,0.31,0.314,1,9,1.78,+,5.06,0.000881,0.0393,10,5.98,+,1.67,0.255,1
regulation of lipid transport (GO:0032368),2,2,0.64,+,3.11,0.25,1,0,0.65,-, < 0.01,1,1,1,0.36,+,2.81,0.388,1,2,1.2,+,1.67,0.633,1
negative regulation of phospholipid biosynthetic process (GO:0071072),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
positive regulation of Ras GTPase binding (GO:1904477),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of Ras GTPase binding (GO:1904475),1,1,0.32,+,3.11,0.427,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
