GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic32up.txt (4014),plastic32up.txt (expected),plastic32up.txt (over/under),plastic32up.txt (fold Enrichment),plastic32up.txt (raw P-value),plastic32up.txt (FDR),plastic8up.txt (2465),plastic8up.txt (expected),plastic8up.txt (over/under),plastic8up.txt (fold Enrichment),plastic8up.txt (raw P-value),plastic8up.txt (FDR),plastic32down.txt (3826),plastic32down.txt (expected),plastic32down.txt (over/under),plastic32down.txt (fold Enrichment),plastic32down.txt (raw P-value),plastic32down.txt (FDR)
prostanoid metabolic process (GO:0006692),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
glycosphingolipid biosynthetic process (GO:0006688),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
cytoplasm protein quality control by the ubiquitin-proteasome system (GO:0071629),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
glucosylceramide biosynthetic process (GO:0006679),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
phytosphingosine metabolic process (GO:0006671),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
3-keto-sphinganine metabolic process (GO:0006666),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
glycerol ether metabolic process (GO:0006662),6,6,3.59,+,1.67,0.383,1,4,1.88,+,2.13,0.263,1,1,1.15,-,0.87,1,1,3,1.79,+,1.68,0.438,1
phosphatidylserine biosynthetic process (GO:0006659),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
phosphatidylserine metabolic process (GO:0006658),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
phosphatidylcholine biosynthetic process (GO:0006656),5,5,2.99,+,1.67,0.516,1,2,1.56,+,1.28,0.674,1,1,0.96,+,1.04,1,1,2,1.49,+,1.34,0.664,1
triglyceride mobilization (GO:0006642),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
fruit replum development (GO:1990058),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
mitotic prophase (GO:0000088),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
mitotic M phase (GO:0000087),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
mitotic G2 phase (GO:0000085),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
mitotic S phase (GO:0000084),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
ER to chloroplast lipid transport (GO:1990052),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
mitotic G1 phase (GO:0000080),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)",1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of chromatin binding (GO:0035563),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
"putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)",1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of chromatin binding (GO:0035561),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
geranylgeranyl diphosphate biosynthetic process (GO:0033386),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
geranylgeranyl diphosphate metabolic process (GO:0033385),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
geranyl diphosphate biosynthetic process (GO:0033384),3,3,1.79,+,1.67,0.678,1,0,0.94,-, < 0.01,1,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
geranyl diphosphate metabolic process (GO:0033383),3,3,1.79,+,1.67,0.678,1,0,0.94,-, < 0.01,1,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
farnesyl diphosphate biosynthetic process (GO:0045337),5,5,2.99,+,1.67,0.516,1,2,1.56,+,1.28,0.674,1,3,0.96,+,3.13,0.124,1,1,1.49,-,0.67,1,1
positive regulation of defense response to virus by host (GO:0002230),4,4,2.39,+,1.67,0.483,1,2,1.25,+,1.6,0.633,1,2,0.77,+,2.6,0.25,1,2,1.19,+,1.68,0.626,1
cytoplasm protein quality control (GO:0140455),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
innate immune response activating cell surface receptor signaling pathway (GO:0002220),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
chlorophyll cycle (GO:0033354),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
S-adenosylmethionine cycle (GO:0033353),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
defense response to insect (GO:0002213),10,10,5.98,+,1.67,0.255,1,6,3.13,+,1.92,0.237,1,3,1.92,+,1.56,0.452,1,3,2.98,+,1.01,1,1
guanosine tetraphosphate biosynthetic process (GO:0015970),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
maltose biosynthetic process (GO:0000024),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
guanosine tetraphosphate metabolic process (GO:0015969),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
diadenosine tetraphosphate biosynthetic process (GO:0015966),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
trichome papilla formation (GO:1905499),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
diadenosine polyphosphate biosynthetic process (GO:0015960),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
oxidative RNA demethylation (GO:0035513),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
PAMP-triggered immunity signalling pathway (GO:0140426),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
viral genome replication (GO:0019079),4,4,2.39,+,1.67,0.483,1,3,1.25,+,2.4,0.368,1,0,0.77,-, < 0.01,1,1,2,1.19,+,1.68,0.626,1
pyrimidine nucleobase salvage (GO:0043100),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,3,0.89,+,3.36,0.138,1
UDP-D-xylose biosynthetic process (GO:0033320),4,4,2.39,+,1.67,0.483,1,1,1.25,-,0.8,1,1,0,0.77,-, < 0.01,1,1,1,1.19,-,0.84,1,1
formate metabolic process (GO:0015942),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
pantothenate biosynthetic process (GO:0015940),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
UDP-D-xylose metabolic process (GO:0033319),4,4,2.39,+,1.67,0.483,1,1,1.25,-,0.8,1,1,0,0.77,-, < 0.01,1,1,1,1.19,-,0.84,1,1
meiotic spindle assembly checkpoint (GO:0033316),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
pantothenate metabolic process (GO:0015939),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
viral life cycle (GO:0019058),6,6,3.59,+,1.67,0.383,1,4,1.88,+,2.13,0.263,1,1,1.15,-,0.87,1,1,2,1.79,+,1.12,1,1
inductive cell-cell signaling (GO:0031129),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
developmental induction (GO:0031128),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
centriole replication (GO:0007099),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
centrosome cycle (GO:0007098),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
defense response by cell wall thickening (GO:0052482),10,10,5.98,+,1.67,0.255,1,7,3.13,+,2.24,0.148,1,4,1.92,+,2.08,0.263,1,4,2.98,+,1.34,0.54,1
membrane bending (GO:0097753),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
negative regulation of microtubule polymerization (GO:0031115),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of microtubule polymerization or depolymerization (GO:0031111),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
10-formyltetrahydrofolate biosynthetic process (GO:0009257),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
10-formyltetrahydrofolate metabolic process (GO:0009256),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of histone H3-K4 trimethylation (GO:1905435),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
exon-exon junction complex disassembly (GO:1903259),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
glucosamine-containing compound biosynthetic process (GO:1901073),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
glucosamine-containing compound catabolic process (GO:1901072),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,2,0.6,+,3.36,0.228,1
menaquinone biosynthetic process (GO:0009234),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
menaquinone metabolic process (GO:0009233),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
regulation of organic acid transport (GO:0032890),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
thiamine diphosphate biosynthetic process (GO:0009229),5,5,2.99,+,1.67,0.516,1,3,1.56,+,1.92,0.406,1,0,0.96,-, < 0.01,1,1,2,1.49,+,1.34,0.664,1
thiamine biosynthetic process (GO:0009228),4,4,2.39,+,1.67,0.483,1,1,1.25,-,0.8,1,1,0,0.77,-, < 0.01,1,1,3,1.19,+,2.52,0.202,1
positive regulation of cell fate specification (GO:0042660),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
root regeneration (GO:0062211),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
shoot regeneration (GO:0062210),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
positive regulation of mitotic cohesin loading (GO:1905406),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of mitotic cohesin loading (GO:1905405),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of endodermal cell differentiation (GO:1903224),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
purine deoxyribonucleoside triphosphate catabolic process (GO:0009217),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
protein catabolic process in the vacuole (GO:0007039),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
morphogenesis of a polarized epithelium (GO:0001738),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,1,0.58,+,1.74,0.505,1,0,0.89,-, < 0.01,1,1
establishment of planar polarity (GO:0001736),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,1,0.58,+,1.74,0.505,1,0,0.89,-, < 0.01,1,1
meiotic telomere tethering at nuclear periphery (GO:0044821),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
cyanidin 3-O-glucoside metabolic process (GO:1901038),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of microtubule depolymerization (GO:0007026),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
microtubule depolymerization (GO:0007019),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,2,0.89,+,2.24,0.324,1
zinc ion import across plasma membrane (GO:0071578),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
positive regulation of vitamin E biosynthetic process (GO:1904966),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
regulation of vitamin E biosynthetic process (GO:1904965),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
positive regulation of phytol biosynthetic process (GO:1904964),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of phytol biosynthetic process (GO:1904963),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
plastid to vacuole vesicle-mediated transport (GO:1904962),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
quiescent center organization (GO:1904961),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
ornithine catabolic process (GO:0006593),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of establishment of protein localization (GO:1904950),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
ethanolamine metabolic process (GO:0006580),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
phospholipid homeostasis (GO:0055091),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
isoprenoid biosynthetic process via mevalonate (GO:1902767),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
acylglycerol homeostasis (GO:0055090),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
tyrosine biosynthetic process (GO:0006571),4,4,2.39,+,1.67,0.483,1,2,1.25,+,1.6,0.633,1,3,0.77,+,3.91,0.088,1,2,1.19,+,1.68,0.626,1
fatty acid homeostasis (GO:0055089),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
establishment of imprinting at mating-type locus (GO:0071516),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
genetic imprinting at mating-type locus (GO:0071515),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
proline catabolic process (GO:0006562),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of amino acid transport (GO:0051955),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of amine transport (GO:0051952),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
cellular response to sterol depletion (GO:0071501),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
methylglyoxal catabolic process to lactate (GO:0061727),4,4,2.39,+,1.67,0.483,1,3,1.25,+,2.4,0.368,1,0,0.77,-, < 0.01,1,1,2,1.19,+,1.68,0.626,1
lysine catabolic process (GO:0006554),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,2,0.58,+,3.47,0.185,1,1,0.89,+,1.12,1,1
cobalt ion homeostasis (GO:0055068),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
glutamine biosynthetic process (GO:0006542),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,0,0.58,-, < 0.01,1,1,1,0.89,+,1.12,1,1
positive regulation of calcium ion transport (GO:0051928),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of calcium ion transport (GO:0051924),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
asparagine biosynthetic process (GO:0006529),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
asparagine metabolic process (GO:0006528),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
arginine catabolic process (GO:0006527),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
alanine catabolic process (GO:0006524),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
alanine metabolic process (GO:0006522),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
mitochondrial tRNA processing (GO:0090646),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
protein deglycosylation (GO:0006517),4,4,2.39,+,1.67,0.483,1,2,1.25,+,1.6,0.633,1,1,0.77,+,1.3,0.584,1,1,1.19,-,0.84,1,1
glycoprotein catabolic process (GO:0006516),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
tRNA wobble position uridine thiolation (GO:0002143),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
wobble position uridine ribose methylation (GO:0002132),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
wobble position cytosine ribose methylation (GO:0002131),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
wobble position ribose methylation (GO:0002130),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
nickel cation transmembrane transport (GO:0035444),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
tRNA nucleoside ribose methylation (GO:0002128),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
pantothenate transmembrane transport (GO:0015887),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
sieve element differentiation (GO:0090603),3,3,1.79,+,1.67,0.678,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,2,0.89,+,2.24,0.324,1
L-ascorbic acid transmembrane transport (GO:0015882),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
coenzyme A transport (GO:0015880),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
plastid DNA replication (GO:0033259),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
plastid DNA metabolic process (GO:0033258),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
choline transport (GO:0015871),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
pyrimidine nucleoside transport (GO:0015864),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
pre-miRNA processing (GO:0031054),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
Golgi to plasma membrane protein transport (GO:0043001),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
pyrimidine deoxyribonucleoside diphosphate biosynthetic process (GO:0009197),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
pyrimidine deoxyribonucleoside diphosphate metabolic process (GO:0009196),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cyclic nucleotide biosynthetic process (GO:0009190),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
polyamine transport (GO:0015846),4,4,2.39,+,1.67,0.483,1,2,1.25,+,1.6,0.633,1,2,0.77,+,2.6,0.25,1,1,1.19,-,0.84,1,1
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cyclic nucleotide metabolic process (GO:0009187),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
deoxyribonucleoside diphosphate metabolic process (GO:0009186),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
iron import into cell (GO:0033212),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:2001215),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
