




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	evolved_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.adaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.maladaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	allexp_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	allexp_forGO.txt - REFLIST (12841)	evolved_ref_forGO.txt (166)	evolved_ref_forGO.txt (expected)	evolved_ref_forGO.txt (over/under)	evolved_ref_forGO.txt (fold Enrichment)	evolved_ref_forGO.txt (raw P-value)	evolved_ref_forGO.txt (FDR)	adaptive_plasticity_ref_forGO.txt (41)	adaptive_plasticity_ref_forGO.txt (expected)	adaptive_plasticity_ref_forGO.txt (over/under)	adaptive_plasticity_ref_forGO.txt (fold Enrichment)	adaptive_plasticity_ref_forGO.txt (raw P-value)	adaptive_plasticity_ref_forGO.txt (FDR)	maladaptive_plasticity_ref_forGO.txt (15)	maladaptive_plasticity_ref_forGO.txt (expected)	maladaptive_plasticity_ref_forGO.txt (over/under)	maladaptive_plasticity_ref_forGO.txt (fold Enrichment)	maladaptive_plasticity_ref_forGO.txt (raw P-value)	maladaptive_plasticity_ref_forGO.txt (FDR)
ncRNA 5'-end processing (GO:0034471)	10	1	.13	+	7.74	1.32E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
root meristem growth (GO:0010449)	10	1	.13	+	7.74	1.32E-01	1.00E00	1	.03	+	31.32	3.45E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
protein sumoylation (GO:0016925)	10	1	.13	+	7.74	1.32E-01	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
autophagy of nucleus (GO:0044804)	11	1	.14	+	7.03	1.43E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	11	1	.14	+	7.03	1.43E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of metal ion transport (GO:0010959)	11	1	.14	+	7.03	1.43E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
actin filament bundle organization (GO:0061572)	11	1	.14	+	7.03	1.43E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA 5'-end processing (GO:0000966)	11	1	.14	+	7.03	1.43E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of protein localization in organelle (GO:0072595)	11	1	.14	+	7.03	1.43E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
actin filament bundle assembly (GO:0051017)	11	1	.14	+	7.03	1.43E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
galactolipid biosynthetic process (GO:0019375)	11	1	.14	+	7.03	1.43E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	1	.01	+	77.82	1.39E-02	1.00E00
recognition of pollen (GO:0048544)	33	3	.43	+	7.03	1.07E-02	1.00E00	2	.11	+	18.98	5.50E-03	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
embryonic morphogenesis (GO:0048598)	23	2	.30	+	6.73	4.01E-02	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	1	.03	+	37.22	2.77E-02	1.00E00
cell recognition (GO:0008037)	35	3	.45	+	6.63	1.24E-02	1.00E00	2	.11	+	17.90	6.13E-03	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrion disassembly (GO:0061726)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound transport (GO:0015850)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
oligosaccharide-lipid intermediate biosynthetic process (GO:0006490)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	1	.01	+	71.34	1.51E-02	1.00E00
positive regulation of cell division (GO:0051781)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
xanthophyll metabolic process (GO:0016122)	12	1	.16	+	6.45	1.54E-01	1.00E00	1	.04	+	26.10	4.06E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic meristem initiation (GO:0090421)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation involved in DNA replication (GO:0006271)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation (GO:0022616)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
floral meristem determinacy (GO:0010582)	12	1	.16	+	6.45	1.54E-01	1.00E00	1	.04	+	26.10	4.06E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	12	1	.16	+	6.45	1.54E-01	1.00E00	1	.04	+	26.10	4.06E-02	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of gibberellic acid mediated signaling pathway (GO:0009938)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
autophagy of mitochondrion (GO:0000422)	12	1	.16	+	6.45	1.54E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid catabolic process (GO:0009395)	13	1	.17	+	5.95	1.65E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
sucrose metabolic process (GO:0005985)	26	2	.34	+	5.95	4.93E-02	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
glycogen metabolic process (GO:0005977)	13	1	.17	+	5.95	1.65E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
meristem growth (GO:0035266)	13	1	.17	+	5.95	1.65E-01	1.00E00	1	.04	+	24.09	4.37E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
stomatal closure (GO:0090332)	13	1	.17	+	5.95	1.65E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
energy reserve metabolic process (GO:0006112)	13	1	.17	+	5.95	1.65E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of phosphoprotein phosphatase activity (GO:0043666)	13	1	.17	+	5.95	1.65E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of seed maturation (GO:2000034)	13	1	.17	+	5.95	1.65E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
triglyceride biosynthetic process (GO:0019432)	13	1	.17	+	5.95	1.65E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	1	.02	+	65.85	1.62E-02	1.00E00
galactolipid metabolic process (GO:0019374)	13	1	.17	+	5.95	1.65E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	1	.02	+	65.85	1.62E-02	1.00E00
regulation of meristem growth (GO:0010075)	39	3	.50	+	5.95	1.63E-02	1.00E00	2	.12	+	16.06	7.49E-03	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell cycle (GO:0045787)	27	2	.35	+	5.73	5.25E-02	1.00E00	1	.09	+	11.60	8.55E-02	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
pollen-pistil interaction (GO:0009875)	41	3	.53	+	5.66	1.84E-02	1.00E00	2	.13	+	15.28	8.22E-03	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
Golgi to plasma membrane transport (GO:0006893)	14	1	.18	+	5.53	1.75E-01	1.00E00	1	.04	+	22.37	4.67E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
meristem determinacy (GO:0010022)	14	1	.18	+	5.53	1.75E-01	1.00E00	1	.04	+	22.37	4.67E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
callose deposition in cell wall (GO:0052543)	14	1	.18	+	5.53	1.75E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
guanosine-containing compound metabolic process (GO:1901068)	14	1	.18	+	5.53	1.75E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation for protein translation (GO:0006418)	42	3	.54	+	5.53	1.96E-02	1.00E00	1	.13	+	7.46	1.28E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of nuclear division (GO:0051783)	28	2	.36	+	5.53	5.58E-02	1.00E00	1	.09	+	11.19	8.84E-02	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
sporulation (GO:0043934)	28	2	.36	+	5.53	5.58E-02	1.00E00	2	.09	+	22.37	4.06E-03	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
radial pattern formation (GO:0009956)	14	1	.18	+	5.53	1.75E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
intercellular transport (GO:0010496)	14	1	.18	+	5.53	1.75E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic chromosome separation (GO:0051307)	14	1	.18	+	5.53	1.75E-01	1.00E00	1	.04	+	22.37	4.67E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell division (GO:0051302)	42	3	.54	+	5.53	1.96E-02	1.00E00	0	.13	-	 < 0.01	1.00E00	1.00E00	1	.05	+	20.38	4.90E-02	1.00E00
response to gamma radiation (GO:0010332)	14	1	.18	+	5.53	1.75E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
gibberellic acid mediated signaling pathway (GO:0009740)	28	2	.36	+	5.53	5.58E-02	1.00E00	1	.09	+	11.19	8.84E-02	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
sexual sporulation (GO:0034293)	28	2	.36	+	5.53	5.58E-02	1.00E00	2	.09	+	22.37	4.06E-03	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
response to mechanical stimulus (GO:0009612)	14	1	.18	+	5.53	1.75E-01	1.00E00	1	.04	+	22.37	4.67E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
plant-type sporogenesis (GO:0048236)	28	2	.36	+	5.53	5.58E-02	1.00E00	2	.09	+	22.37	4.06E-03	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
metallo-sulfur cluster assembly (GO:0031163)	29	2	.37	+	5.33	5.91E-02	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster assembly (GO:0016226)	29	2	.37	+	5.33	5.91E-02	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation (GO:0043039)	44	3	.57	+	5.27	2.20E-02	1.00E00	1	.14	+	7.12	1.34E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
amino acid activation (GO:0043038)	44	3	.57	+	5.27	2.20E-02	1.00E00	1	.14	+	7.12	1.34E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphate ion transport (GO:0006817)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
one-carbon metabolic process (GO:0006730)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	30	2	.39	+	5.16	6.26E-02	1.00E00	1	.10	+	10.44	9.42E-02	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	30	2	.39	+	5.16	6.26E-02	1.00E00	1	.10	+	10.44	9.42E-02	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
cell wall thickening (GO:0052386)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoside biosynthetic process (GO:0009163)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	30	2	.39	+	5.16	6.26E-02	1.00E00	1	.10	+	10.44	9.42E-02	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
ribonucleoside biosynthetic process (GO:0042455)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside biosynthetic process (GO:0042451)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
cotyledon morphogenesis (GO:0048826)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
acylglycerol biosynthetic process (GO:0046463)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	1	.02	+	57.07	1.85E-02	1.00E00
neutral lipid biosynthetic process (GO:0046460)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	1	.02	+	57.07	1.85E-02	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of seed development (GO:0080050)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside biosynthetic process (GO:0046129)	15	1	.19	+	5.16	1.86E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA metabolic process (GO:0051054)	15	1	.19	+	5.16	1.86E-01	1.00E00	1	.05	+	20.88	4.98E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
post-Golgi vesicle-mediated transport (GO:0006892)	31	2	.40	+	4.99	6.61E-02	1.00E00	1	.10	+	10.10	9.71E-02	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
cotyledon development (GO:0048825)	31	2	.40	+	4.99	6.61E-02	1.00E00	1	.10	+	10.10	9.71E-02	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
gibberellin mediated signaling pathway (GO:0010476)	31	2	.40	+	4.99	6.61E-02	1.00E00	1	.10	+	10.10	9.71E-02	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
Golgi to vacuole transport (GO:0006896)	16	1	.21	+	4.83	1.96E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cellular amino acid metabolic process (GO:0006521)	16	1	.21	+	4.83	1.96E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear DNA replication (GO:0033260)	16	1	.21	+	4.83	1.96E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cellular amine metabolic process (GO:0033238)	16	1	.21	+	4.83	1.96E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	32	2	.41	+	4.83	6.96E-02	1.00E00	1	.10	+	9.79	1.00E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	16	1	.21	+	4.83	1.96E-01	1.00E00	1	.05	+	19.57	5.28E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
asymmetric cell division (GO:0008356)	16	1	.21	+	4.83	1.96E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transport (GO:0034219)	16	1	.21	+	4.83	1.96E-01	1.00E00	1	.05	+	19.57	5.28E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
jasmonic acid metabolic process (GO:0009694)	33	2	.43	+	4.69	7.32E-02	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
response to gibberellin (GO:0009739)	67	4	.87	+	4.62	1.28E-02	1.00E00	1	.21	+	4.67	1.95E-01	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00
mitotic sister chromatid cohesion (GO:0007064)	17	1	.22	+	4.55	2.07E-01	1.00E00	1	.05	+	18.42	5.58E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
potassium ion homeostasis (GO:0055075)	17	1	.22	+	4.55	2.07E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	1	.02	+	50.36	2.08E-02	1.00E00
regulation of phosphatase activity (GO:0010921)	17	1	.22	+	4.55	2.07E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to metal ion (GO:0071248)	17	1	.22	+	4.55	2.07E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of proteasomal protein catabolic process (GO:1901800)	17	1	.22	+	4.55	2.07E-01	1.00E00	1	.05	+	18.42	5.58E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
meristem structural organization (GO:0009933)	34	2	.44	+	4.55	7.69E-02	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
chromosome separation (GO:0051304)	17	1	.22	+	4.55	2.07E-01	1.00E00	1	.05	+	18.42	5.58E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
abscission (GO:0009838)	17	1	.22	+	4.55	2.07E-01	1.00E00	1	.05	+	18.42	5.58E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
import across plasma membrane (GO:0098739)	17	1	.22	+	4.55	2.07E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
import into cell (GO:0098657)	17	1	.22	+	4.55	2.07E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
auxin homeostasis (GO:0010252)	17	1	.22	+	4.55	2.07E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
salicylic acid metabolic process (GO:0009696)	17	1	.22	+	4.55	2.07E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
response to nematode (GO:0009624)	51	3	.66	+	4.55	3.15E-02	1.00E00	1	.16	+	6.14	1.53E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00
spliceosomal snRNP assembly (GO:0000387)	17	1	.22	+	4.55	2.07E-01	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
water transport (GO:0006833)	18	1	.23	+	4.30	2.17E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	1	.02	+	47.56	2.20E-02	1.00E00
specification of axis polarity (GO:0065001)	18	1	.23	+	4.30	2.17E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	1	.02	+	47.56	2.20E-02	1.00E00
male meiotic nuclear division (GO:0007140)	18	1	.23	+	4.30	2.17E-01	1.00E00	1	.06	+	17.40	5.88E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
triglyceride metabolic process (GO:0006641)	18	1	.23	+	4.30	2.17E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	1	.02	+	47.56	2.20E-02	1.00E00
autophagosome assembly (GO:0000045)	18	1	.23	+	4.30	2.17E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	36	2	.47	+	4.30	8.45E-02	1.00E00	1	.11	+	8.70	1.11E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	36	2	.47	+	4.30	8.45E-02	1.00E00	1	.11	+	8.70	1.11E-01	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of protein dephosphorylation (GO:0035304)	18	1	.23	+	4.30	2.17E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	18	1	.23	+	4.30	2.17E-01	1.00E00	1	.06	+	17.40	5.88E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
fluid transport (GO:0042044)	18	1	.23	+	4.30	2.17E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	1	.02	+	47.56	2.20E-02	1.00E00
vesicle-mediated transport to the plasma membrane (GO:0098876)	18	1	.23	+	4.30	2.17E-01	1.00E00	1	.06	+	17.40	5.88E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	18	1	.23	+	4.30	2.17E-01	1.00E00	1	.06	+	17.40	5.88E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of seed germination (GO:0010187)	18	1	.23	+	4.30	2.17E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
hyperosmotic salinity response (GO:0042538)	37	2	.48	+	4.18	8.83E-02	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
second-messenger-mediated signaling (GO:0019932)	37	2	.48	+	4.18	8.83E-02	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
plant ovule development (GO:0048481)	37	2	.48	+	4.18	8.83E-02	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
plant-type ovary development (GO:0035670)	38	2	.49	+	4.07	9.22E-02	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
cell surface receptor signaling pathway (GO:0007166)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of plant organ morphogenesis (GO:1905421)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	1	.02	+	45.06	2.31E-02	1.00E00
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide metabolic process (GO:0009218)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of protein location (GO:0045185)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
protein palmitoylation (GO:0018345)	19	1	.25	+	4.07	2.27E-01	1.00E00	1	.06	+	16.48	6.18E-02	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial translation (GO:0032543)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of protein location in cell (GO:0032507)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
autophagosome organization (GO:1905037)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
amino sugar metabolic process (GO:0006040)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
embryonic meristem development (GO:0048508)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
cytokinin metabolic process (GO:0009690)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
primary root development (GO:0080022)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transport (GO:0051050)	19	1	.25	+	4.07	2.27E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell differentiation (GO:0045595)	20	1	.26	+	3.87	2.37E-01	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	1	.02	+	42.80	2.42E-02	1.00E00
